Year,Area,Street,Street 2,Strange HTML
2011,Birmingham," Holiday̴Inn,̴Smallbrook̴Queensway,"," Holiday Inn, Smallbrook Queensway,",
2011,Birmingham,Holiday̴Street,Holiday Street,
2011,Birmingham,Holly̴Road,Holly Road,
2011,Birmingham," Holte̴Street,̴Gosta̴Green"," Holte Street, Gosta Green",
2011,Birmingham,home̴address,home address,
2011,Birmingham,Horsefair,Horsefair,
2011,Birmingham,Horsefair̴Bristol̴St,Horsefair Bristol St,
2011,Birmingham," Humer̴Tower,Francis̴Street"," Humer Tower,Francis Street",
2011,Birmingham,Hurst,Hurst,
2011,Birmingham,Hurst̴St,Hurst St,
2011,Birmingham,Hurst̴St̴City̴centre̴Birmingham,Hurst St City centre Birmingham,
2011,Birmingham," Hurst̴st,̴̴bham"," Hurst st,  bham",
2011,Birmingham," Hurst̴St,̴Birminhgam"," Hurst St, Birminhgam",
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,hurst̴street,hurst street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,hurst̴street,hurst street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,hurst̴street,hurst street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,hurst̴street,hurst street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham,Hurst̴Street,Hurst Street,
2011,Birmingham," Hurst̴Street,̴Birmingham"," Hurst Street, Birmingham",
2011,Birmingham," Hurst̴Street,̴Birmingham"," Hurst Street, Birmingham",
2011,Birmingham," Hurst̴Street,̴Birmingham"," Hurst Street, Birmingham",
2011,Birmingham," Hurst̴Street,̴Birmingham"," Hurst Street, Birmingham",
2011,Birmingham," hurst̴Street,̴Birmingham"," hurst Street, Birmingham",
2011,Birmingham," Hurst̴Street,̴City̴Center"," Hurst Street, City Center",
2011,Birmingham," Hurst̴Street,̴City̴Centre,"," Hurst Street, City Centre,",
2011,Birmingham," Hurst̴Street,City̴centre"," Hurst Street,City centre",
2011,Birmingham," Hurst̴Street,City̴centre"," Hurst Street,City centre",
2011,Birmingham,IBIS̴Hotel,IBIS Hotel,
2011,Birmingham,ICC,ICC,
2011,Birmingham," ICC̴,broad̴Street"," ICC ,broad Street",
2011,Birmingham,in̴arcadian̴centre̴bham,in arcadian centre bham,
2011,Birmingham,Inge̴Street,Inge Street,
2011,Birmingham,Inge̴Street̴@̴Hurst̴Street,Inge Street @ Hurst Street,
2011,Birmingham," Islington̴Row,̴city̴centre"," Islington Row, city centre",
2011,Birmingham," Islington̴Row,̴Middleway"," Islington Row, Middleway",
2011,Birmingham," James̴Watt̴Queensway,̴Birmingham"," James Watt Queensway, Birmingham",
2011,Birmingham,Kent̴Street,Kent Street,
2011,Birmingham,Kingstanding̴Road,Kingstanding Road,
2011,Birmingham,Kingstanding̴Road,Kingstanding Road,
2011,Birmingham," Lady̴well̴walk,̴City̴Centre."," Lady well walk, City Centre.",
2011,Birmingham,Ladywell̴Walk,Ladywell Walk,
2011,Birmingham,Ladywell̴Walk,Ladywell Walk,
2011,Birmingham,ladywell̴walk,ladywell walk,
2011,Birmingham,Ladywell̴Walk,Ladywell Walk,
2011,Birmingham,Ladywell̴walk,Ladywell walk,
2011,Birmingham,Ladywell̴walk,Ladywell walk,
2011,Birmingham,Ladywell̴Walk,Ladywell Walk,
2011,Birmingham,Ladywell̴Walk,Ladywell Walk,
2011,Birmingham," Ladywell̴walk,̴Birmingham"," Ladywell walk, Birmingham",
2011,Birmingham,Lattimer̴Place̴Winson̴Green,Lattimer Place Winson Green,
2011,Birmingham," Lee̴Longlands,̴̴Broad̴Street,̴Birmingham"," Lee Longlands,  Broad Street, Birmingham",
2011,Birmingham,Linwood̴Rd̴H'worth,Linwood Rd H'worth,
2011,Birmingham,Lloyds̴Bar�����̴Broad̴Street,Lloyds Bar����� Broad Street,
2011,Birmingham," Lloyds̴Bar,̴Broad̴Street"," Lloyds Bar, Broad Street",
2011,Birmingham,Lodge̴Rd̴Winson̴Green,Lodge Rd Winson Green,
2011,Birmingham,loft̴lounge,loft lounge,
2011,Birmingham,Long̴Acre̴̴Nechells,Long Acre  Nechells,
2011,Birmingham,lower̴bull̴street,lower bull street,
2011,Birmingham,lower̴bull̴street,lower bull street,
2011,Birmingham," Lower̴parade,̴Sutton"," Lower parade, Sutton",
2011,Birmingham," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,Birmingham," Macdonalds,̴Bordesley̴Green̴East"," Macdonalds, Bordesley Green East",
2011,Birmingham," Macdonalds,̴ramp,̴city̴centre,̴Birmingham"," Macdonalds, ramp, city centre, Birmingham",
2011,Birmingham," Mailbox,̴Birmingham"," Mailbox, Birmingham",
2011,Birmingham," Mcdonald̴Street,̴birmingham"," Mcdonald Street, birmingham",
2011,Birmingham," Millward̴Close,̴small̴Heath"," Millward Close, small Heath",
2011,Birmingham," Mono̴Bar,̴Arcadian̴Centre"," Mono Bar, Arcadian Centre",
2011,Birmingham," Mono̴Bar,Ladywell̴Walk,̴City̴Centre"," Mono Bar,Ladywell Walk, City Centre",
2011,Birmingham,moor̴st,moor st,
2011,Birmingham,moor̴street,moor street,
2011,Birmingham,Moor̴Street̴Entance̴to̴Bull̴Ring,Moor Street Entance to Bull Ring,
2011,Birmingham," Moore̴Street,̴Birmingham"," Moore Street, Birmingham",
2011,Birmingham," Moore̴Street,̴City̴Centre,̴Birmingham"," Moore Street, City Centre, Birmingham",
2011,Birmingham," Moseley̴park,Alcester̴Street"," Moseley park,Alcester Street",
2011,Birmingham," navigation̴St,̴Birmingham"," navigation St, Birmingham",
2011,Birmingham,Navigation̴Street,Navigation Street,
2011,Birmingham," Near̴to̴Hair̴&̴Beauty,̴Soho̴Road"," Near to Hair & Beauty, Soho Road",
2011,Birmingham," New̴Meeting̴Street,City̴centre"," New Meeting Street,City centre",
2011,Birmingham,New̴St,New St,
2011,Birmingham,New̴St̴B'ham̴City̴Centre,New St B'ham City Centre,
2011,Birmingham,New̴St̴City̴Centre,New St City Centre,
2011,Birmingham,new̴st̴railway̴station,new st railway station,
2011,Birmingham,new̴st̴railway̴station,new st railway station,
2011,Birmingham,new̴st̴railway̴station,new st railway station,
2011,Birmingham," New̴St,̴Birmingham"," New St, Birmingham",
2011,Birmingham,New̴Street,New Street,
2011,Birmingham,New̴Street,New Street,
2011,Birmingham,New̴Street,New Street,
2011,Birmingham,New̴street,New street,
2011,Birmingham,New̴Street,New Street,
2011,Birmingham,New̴Street,New Street,
2011,Birmingham,new̴street,new street,
2011,Birmingham,New̴Street,New Street,
2011,Birmingham,New̴Street̴@̴Stephenson̴Street,New Street @ Stephenson Street,
2011,Birmingham," New̴Street̴city̴centre,̴Birmingham"," New Street city centre, Birmingham",
2011,Birmingham,new̴street̴railwaty,new street railwaty,
2011,Birmingham,New̴Street̴station,New Street station,
2011,Birmingham,New̴Street̴Station,New Street Station,
2011,Birmingham,New̴Street̴Station,New Street Station,
2011,Birmingham,New̴Street̴Station,New Street Station,
2011,Birmingham," New̴Street̴Station,̴Birmingham"," New Street Station, Birmingham",
2011,Birmingham," New̴Street̴station,̴station̴approach"," New Street station, station approach",
2011,Birmingham," New̴Street,̴Birmingham"," New Street, Birmingham",
2011,Birmingham," New̴Street,̴Birmingham"," New Street, Birmingham",
2011,Birmingham," New̴Street,̴Birmingham"," New Street, Birmingham",
2011,Birmingham," New̴Street,̴City̴Centre"," New Street, City Centre",
2011,Birmingham," New̴Street,̴City̴Centre"," New Street, City Centre",
2011,Birmingham," New̴Street,̴City̴Centre"," New Street, City Centre",
2011,Birmingham," New̴Street,̴City̴Centre."," New Street, City Centre.",
2011,Birmingham,Newtown̴Housing̴Centre,Newtown Housing Centre,
2011,Birmingham,Newtown̴Row,Newtown Row,
2011,Birmingham," Next̴Clearance̴Store,̴Corporation̴Street."," Next Clearance Store, Corporation Street.",
2011,Birmingham,Nineva̴road̴ayt̴Soho̴Rd,Nineva road ayt Soho Rd,
2011,Birmingham,Not̴known,Not known,
2011,Birmingham,o/s̴Bham̴crown̴court,o/s Bham crown court,
2011,Birmingham,O/s̴Flairs̴Broad̴Street,O/s Flairs Broad Street,
2011,Birmingham," o/s̴Flares̴club,̴Broad̴St,̴Birmingham"," o/s Flares club, Broad St, Birmingham",
2011,Birmingham,O/S̴Gatecrasher̴Broad̴Street,O/S Gatecrasher Broad Street,
2011,Birmingham," O/S̴McDonalds,̴Ramp,̴City̴Centre"," O/S McDonalds, Ramp, City Centre",
2011,Birmingham,O/s̴new̴street̴station,O/s new street station,
2011,Birmingham," O/S̴Oceania,̴Ladywell̴Walk,̴Birmingham"," O/S Oceania, Ladywell Walk, Birmingham",
2011,Birmingham," o/s̴Reflex̴Broad̴Street,̴City̴Centre"," o/s Reflex Broad Street, City Centre",
2011,Birmingham,o/s̴The̴Crown̴PH̴Station̴Road,o/s The Crown PH Station Road,
2011,Birmingham,O/s̴Walkabout̴Broad̴Street,O/s Walkabout Broad Street,
2011,Birmingham,o2̴Academy,o2 Academy,
2011,Birmingham," O2̴Academy,̴Horsefair."," O2 Academy, Horsefair.",
2011,Birmingham," Oh̴Bar,̴Broad̴Street,̴Birmingham"," Oh Bar, Broad Street, Birmingham",
2011,Birmingham," O'Neils,̴Broad̴Street,̴Birmingham"," O'Neils, Broad Street, Birmingham",
2011,Birmingham,OS̴Birmingham̴Magistrates̴Court,OS Birmingham Magistrates Court,
2011,Birmingham,os̴dubliner̴ph,os dubliner ph,
2011,Birmingham,Outside̴Bliss̴̴Broad̴Street,Outside Bliss  Broad Street,
2011,Birmingham,Outside̴Bliss̴nightclub.,Outside Bliss nightclub.,
2011,Birmingham,Outside̴Bliss̴nightclub.,Outside Bliss nightclub.,
2011,Birmingham," Outside̴Bliss,Broad̴Street"," Outside Bliss,Broad Street",
2011,Birmingham," Outside̴O̴Velvet,̴Broad̴St."," Outside O Velvet, Broad St.",
2011,Birmingham,Outside̴Oceana̴Club,Outside Oceana Club,
2011,Birmingham,outside̴reflex̴nightclub,outside reflex nightclub,
2011,Birmingham,Outside̴Revolution̴Bridge̴St̴Walsal,Outside Revolution Bridge St Walsal,
2011,Birmingham,outside̴rocket̴club̴broad̴st,outside rocket club broad st,
2011,Birmingham," Outside̴walkabout,Broad̴Street"," Outside walkabout,Broad Street",
2011,Birmingham," O'Velvet,̴Nightclub,̴Broad̴St,̴Birmingham"," O'Velvet, Nightclub, Broad St, Birmingham",
2011,Birmingham,Oxhill̴Road,Oxhill Road,
2011,Birmingham,Pagoda̴Island,Pagoda Island,
2011,Birmingham,paradise̴forum,paradise forum,
2011,Birmingham,Paradise̴Forum̴City̴Centre̴Birmingham,Paradise Forum City Centre Birmingham,
2011,Birmingham," Paradise̴Forum,̴Victoria̴Square,̴Birmingham"," Paradise Forum, Victoria Square, Birmingham",
2011,Birmingham,Pershore̴St̴car̴park,Pershore St car park,
2011,Birmingham," Pershore̴Street̴Road,̴City̴Centre"," Pershore Street Road, City Centre",
2011,Birmingham," Pershore̴Street,̴City̴Centre."," Pershore Street, City Centre.",
2011,Birmingham," Pizza̴Hut,̴New̴St,̴Birmingham"," Pizza Hut, New St, Birmingham",
2011,Birmingham,Quigley̴Avenue,Quigley Avenue,
2011,Birmingham," Rag̴market,̴city̴centre"," Rag market, city centre",
2011,Birmingham," Reflex̴on̴Broad̴Street,̴Birmingham"," Reflex on Broad Street, Birmingham",
2011,Birmingham,regency̴wharf,regency wharf,
2011,Birmingham," Risa̴Bar,̴Birmingham"," Risa Bar, Birmingham",
2011,Birmingham," Risa,Broad̴Street"," Risa,Broad Street",
2011,Birmingham," Rookery̴Road,̴Handsworth"," Rookery Road, Handsworth",
2011,Birmingham," Rottersley̴Street,̴Birmingham"," Rottersley Street, Birmingham",
2011,Birmingham," Rotunda̴Island,̴City̴CEntre"," Rotunda Island, City CEntre",
2011,Birmingham,Sainsburys̴Colmore̴Row,Sainsburys Colmore Row,
2011,Birmingham,Sandringham̴Road,Sandringham Road,
2011,Birmingham,Sandwell̴Hospital,Sandwell Hospital,
2011,Birmingham,Sence̴in̴the̴Arcadian,Sence in the Arcadian,
2011,Birmingham," Sense̴Nightclub,̴Arcadia,̴Birmingham"," Sense Nightclub, Arcadia, Birmingham",
2011,Birmingham,Shadwell̴Street,Shadwell Street,
2011,Birmingham," Shakespeare̴Bar,̴New̴Street̴Station."," Shakespeare Bar, New Street Station.",
2011,Birmingham," Shakespeare̴PH,̴New̴St̴Station"," Shakespeare PH, New St Station",
2011,Birmingham," Sheepcote̴Street,̴Birmingham"," Sheepcote Street, Birmingham",
2011,Birmingham," Sioho̴Road,̴Handsworth"," Sioho Road, Handsworth",
2011,Birmingham," Slade̴Road,̴erdington"," Slade Road, erdington",
2011,Birmingham,Small̴brook̴Queensway,Small brook Queensway,
2011,Birmingham,Smallbrook̴Queensway,Smallbrook Queensway,
2011,Birmingham,smallbrook̴queensway,smallbrook queensway,
2011,Birmingham,smallbrook̴queensway,smallbrook queensway,
2011,Birmingham,Smallbrook̴Queensway̴City̴Centre̴Birmingham,Smallbrook Queensway City Centre Birmingham,
2011,Birmingham," Smallbrook̴Queensway,City̴centre"," Smallbrook Queensway,City centre",
2011,Birmingham,smethwick̴end,smethwick end,
2011,Birmingham,soho̴hill,soho hill,
2011,Birmingham," Soho̴Hill,̴Handsworth,̴Birmingham"," Soho Hill, Handsworth, Birmingham",
2011,Birmingham,Soho̴Road,Soho Road,
2011,Birmingham,Soho̴Road,Soho Road,
2011,Birmingham,Soho̴Road,Soho Road,
2011,Birmingham,soho̴road,soho road,
2011,Birmingham," Sommerfield̴Park,̴Winson̴Green"," Sommerfield Park, Winson Green",
2011,Birmingham,square̴peg̴PH,square peg PH,
2011,Birmingham," Square̴Peg,Corporation̴Street"," Square Peg,Corporation Street",
2011,Birmingham," Star̴city,̴Aston."," Star city, Aston.",
2011,Birmingham," Star̴City,̴Birmingham"," Star City, Birmingham",
2011,Birmingham," Star̴City,̴Nechells"," Star City, Nechells",
2011,Birmingham," Station̴Road,̴City̴Centre"," Station Road, City Centre",
2011,Birmingham,Steelhouse̴Lane,Steelhouse Lane,
2011,Birmingham,Steelhouse̴Lane,Steelhouse Lane,
2011,Birmingham,Steelhouse̴Lane,Steelhouse Lane,
2011,Birmingham,Steelhouse̴Lane,Steelhouse Lane,
2011,Birmingham,Steelhouse̴Lane,Steelhouse Lane,
2011,Birmingham,steelhouse̴lane,steelhouse lane,
2011,Birmingham,steelhouse̴lane,steelhouse lane,
2011,Birmingham,Steelhouse̴Lane,Steelhouse Lane,
2011,Birmingham,Steelhouse̴Lane̴Police̴station,Steelhouse Lane Police station,
2011,Birmingham," Steelhouse̴Lane,̴Birmingham"," Steelhouse Lane, Birmingham",
2011,Birmingham," Steelhouse̴Lane,̴City̴Centre,̴Birmingham"," Steelhouse Lane, City Centre, Birmingham",
2011,Birmingham,Stephenson̴St,Stephenson St,
2011,Birmingham,Stephenson̴Street,Stephenson Street,
2011,Birmingham," Stephenson̴Street,̴Birmingham̴City"," Stephenson Street, Birmingham City",
2011,Birmingham," Stephenson̴Street,̴City̴Centre"," Stephenson Street, City Centre",
2011,Birmingham,Stephensons̴Street,Stephensons Street,
2011,Birmingham,Suffolk̴St̴Queensway,Suffolk St Queensway,
2011,Birmingham," Sugar̴Suite,̴Broad̴Street"," Sugar Suite, Broad Street",
2011,Birmingham,summer̴lane,summer lane,
2011,Birmingham,summer̴row,summer row,
2011,Birmingham,Temple̴Row,Temple Row,
2011,Birmingham,temple̴row,temple row,
2011,Birmingham,Tennant̴St,Tennant St,
2011,Birmingham," Terrace̴Road,̴Handsworth"," Terrace Road, Handsworth",
2011,Birmingham,tesco̴aston̴lane,tesco aston lane,
2011,Birmingham,Tesco̴SpringHill,Tesco SpringHill,
2011,Birmingham,The̴Parade̴Sutton̴Coldfield,The Parade Sutton Coldfield,
2011,Birmingham," The̴Parade,̴Sutton̴Coldfield"," The Parade, Sutton Coldfield",
2011,Birmingham," The̴Ramp,̴Corporation̴St,̴Birmingham"," The Ramp, Corporation St, Birmingham",
2011,Birmingham,The̴Ramp.,The Ramp.,
2011,Birmingham," Thornhill̴Road,̴Birmingham"," Thornhill Road, Birmingham",
2011,Birmingham," Thornhill̴Road,̴Handsworth"," Thornhill Road, Handsworth",
2011,Birmingham,Thorpe̴St̴at̴Hurst̴St,Thorpe St at Hurst St,
2011,Birmingham,Thorpe̴Street,Thorpe Street,
2011,Birmingham,Trocadero̴Public̴house̴o/s,Trocadero Public house o/s,
2011,Birmingham," Turners̴Pallets,̴Hayhole̴road"," Turners Pallets, Hayhole road",
2011,Birmingham,upper̴dean̴street,upper dean street,
2011,Birmingham," Upper̴Dean̴Street,̴Birmingham"," Upper Dean Street, Birmingham",
2011,Birmingham," Upper̴Dean̴Street,̴Birmingham̴City̴Centre"," Upper Dean Street, Birmingham City Centre",
2011,Birmingham," Upper̴Dean̴Street,̴City̴Centre"," Upper Dean Street, City Centre",
2011,Birmingham,Upper̴parade̴Sutton̴Coldfield,Upper parade Sutton Coldfield,
2011,Birmingham,Upper̴Parade̴Sutton̴Coldfield,Upper Parade Sutton Coldfield,
2011,Birmingham," victoria̴square,̴̴bham"," victoria square,  bham",
2011,Birmingham," Victoria̴Square,̴City̴Centre."," Victoria Square, City Centre.",
2011,Birmingham," Waiverley̴park,Handsworth"," Waiverley park,Handsworth",
2011,Birmingham,walkabout̴bar̴broad̴st,walkabout bar broad st,
2011,Birmingham," Walkabout̴PH,̴Broad̴St,̴Birmingham"," Walkabout PH, Broad St, Birmingham",
2011,Birmingham," Walkabout̴PH,̴Broad̴Street,̴Birmingham"," Walkabout PH, Broad Street, Birmingham",
2011,Birmingham," Walkabout,̴Broad̴Street"," Walkabout, Broad Street",
2011,Birmingham," Walsall̴road,̴̴great̴barr"," Walsall road,  great barr",
2011,Birmingham," Walsall̴Road,̴Perry̴Barr"," Walsall Road, Perry Barr",
2011,Birmingham,warf̴road̴kings̴norton,warf road kings norton,
2011,Birmingham,Warwards̴Lane,Warwards Lane,
2011,Birmingham," Washington̴Drive,̴Handsworth̴Wood"," Washington Drive, Handsworth Wood",
2011,Birmingham,Washington̴Street,Washington Street,
2011,Birmingham," Waterloo̴Road,̴Smethwick"," Waterloo Road, Smethwick",
2011,Birmingham," Waverhill̴Park,̴Handsworth"," Waverhill Park, Handsworth",
2011,Birmingham," Waverhill̴Road,̴Handsworth"," Waverhill Road, Handsworth",
2011,Birmingham,way̴entrance̴villa̴ground,way entrance villa ground,
2011,Birmingham,Wellington̴Road,Wellington Road,
2011,Birmingham,Witton̴Arms,Witton Arms,
2011,Birmingham,Witton̴Road,Witton Road,
2011,Birmingham,Witton̴Road,Witton Road,
2011,Birmingham,Witton̴Road̴Aston,Witton Road Aston,
2011,Birmingham,Wrottesley̴Street,Wrottesley Street,
2011,Coventry,primrose̴hill̴Coventry,primrose hill Coventry,
2011,Coventry,Albany̴road,Albany road,
2011,Coventry,Aldbourne̴Road,Aldbourne Road,
2011,Coventry,aldermans̴green̴road,aldermans green road,
2011,Coventry,Allesley̴Old̴Road,Allesley Old Road,
2011,Coventry,Almond̴Tree̴Avenue,Almond Tree Avenue,
2011,Coventry,arbury̴ave̴Coventry,arbury ave Coventry,
2011,Coventry,Arena̴carpark̴A444,Arena carpark A444,
2011,Coventry,argyle̴st̴Coventry,argyle st Coventry,
2011,Coventry,Armstrong̴Avenue̴Stoke,Armstrong Avenue Stoke,
2011,Coventry,Ashorne̴Close,Ashorne Close,
2011,Coventry,Attoxhall̴Rd,Attoxhall Rd,
2011,Coventry," averley̴road̴,̴daimler̴green"," averley road , daimler green",
2011,Coventry,Awson̴Street,Awson Street,
2011,Coventry," Bandals̴Surgery,̴Foleshill̴Road"," Bandals Surgery, Foleshill Road",
2011,Coventry,bell̴green̴rd̴Junction̴A444,bell green rd Junction A444,
2011,Coventry," Bell̴Green̴Road,̴Coventry"," Bell Green Road, Coventry",
2011,Coventry," Bell̴Green̴Road,̴Coventry"," Bell Green Road, Coventry",
2011,Coventry,Binley̴Road,Binley Road,
2011,Coventry,Binley̴Road,Binley Road,
2011,Coventry,Binley̴Road,Binley Road,
2011,Coventry,Binley̴Road,Binley Road,
2011,Coventry,bishop̴street,bishop street,
2011,Coventry,Blackhorse̴lane,Blackhorse lane,
2011,Coventry,Blythe̴Road,Blythe Road,
2011,Coventry,BP̴Garage̴Ansty̴road,BP Garage Ansty road,
2011,Coventry,bramble̴st̴coventry,bramble st coventry,
2011,Coventry," Braod̴Park̴Road,̴Coventry"," Braod Park Road, Coventry",
2011,Coventry," Bredon̴Ave,̴Coventry"," Bredon Ave, Coventry",
2011,Coventry,Broadgate,Broadgate,
2011,Coventry,Bull̴Yard,Bull Yard,
2011,Coventry,Bushberry̴Avenue,Bushberry Avenue,
2011,Coventry,butts̴road̴Coventry,butts road Coventry,
2011,Coventry,cashs̴lane,cashs lane,
2011,Coventry,Cauldon̴road,Cauldon road,
2011,Coventry,Charter̴Ave,Charter Ave,
2011,Coventry,charter̴ave̴Coventry,charter ave Coventry,
2011,Coventry,Chester̴Street,Chester Street,
2011,Coventry,Chesterton̴Road,Chesterton Road,
2011,Coventry," Cheveral̴Ave,̴Coventry"," Cheveral Ave, Coventry",
2011,Coventry,Cliffbridge̴Road,Cliffbridge Road,
2011,Coventry," Clifton̴St̴,Coventry."," Clifton St ,Coventry.",
2011,Coventry,Coc̴street,Coc street,
2011,Coventry," Communal̴landing̴at̴George̴Poole̴House,̴Coventry"," Communal landing at George Poole House, Coventry",
2011,Coventry,Compton̴road,Compton road,
2011,Coventry,concourse̴near̴mortimers,concourse near mortimers,
2011,Coventry,cook̴st,cook st,
2011,Coventry,Corporation̴St,Corporation St,
2011,Coventry," Corporation̴St̴,Coventry."," Corporation St ,Coventry.",
2011,Coventry,Corporation̴Street,Corporation Street,
2011,Coventry,Coundon̴road,Coundon road,
2011,Coventry,coventry,coventry,
2011,Coventry,Coventry̴Central̴cells,Coventry Central cells,
2011,Coventry,Coventry̴Central̴Front̴office,Coventry Central Front office,
2011,Coventry,coventry̴central̴pol̴stn,coventry central pol stn,
2011,Coventry,coventry̴central̴police̴station,coventry central police station,
2011,Coventry,coventry̴central̴police̴station,coventry central police station,
2011,Coventry,Coventry̴Central̴PS,Coventry Central PS,
2011,Coventry,Coventry̴Central̴PS,Coventry Central PS,
2011,Coventry,Coventry̴Railwat̴Station.,Coventry Railwat Station.,
2011,Coventry,Coventry̴Railway̴Station.,Coventry Railway Station.,
2011,Coventry,coventry̴train̴station,coventry train station,
2011,Coventry,Cox̴street,Cox street,
2011,Coventry,Cross̴Road,Cross Road,
2011,Coventry,devonshire̴arms,devonshire arms,
2011,Coventry,duckham̴court,duckham court,
2011,Coventry,Earlsdon̴High̴Street,Earlsdon High Street,
2011,Coventry," Elms̴Pub,̴Birmingham̴road"," Elms Pub, Birmingham road",
2011,Coventry,fairfax̴street,fairfax street,
2011,Coventry,far̴gosford̴street,far gosford street,
2011,Coventry,Far̴Gosford̴Street,Far Gosford Street,
2011,Coventry,Farndale̴Ave,Farndale Ave,
2011,Coventry,Farndale̴Ave,Farndale Ave,
2011,Coventry,Foleshill̴Rd,Foleshill Rd,
2011,Coventry,Foleshill̴Road,Foleshill Road,
2011,Coventry,Foleshill̴Road,Foleshill Road,
2011,Coventry,Foleshill̴Road,Foleshill Road,
2011,Coventry," Foleshill̴road,̴Coventry"," Foleshill road, Coventry",
2011,Coventry," Four̴Pounds̴Ave,̴Coventry"," Four Pounds Ave, Coventry",
2011,Coventry,FRiars̴road,FRiars road,
2011,Coventry,front̴of̴Coventry̴Central̴police̴Station,front of Coventry Central police Station,
2011,Coventry,Front̴office,Front office,
2011,Coventry,Front̴Office,Front Office,
2011,Coventry," Gala̴Bingo,̴Pool̴Meadow"," Gala Bingo, Pool Meadow",
2011,Coventry,Gosford̴Street,Gosford Street,
2011,Coventry,Gosford̴street,Gosford street,
2011,Coventry,Gosford̴Street,Gosford Street,
2011,Coventry,greyfriars̴st̴Coventry,greyfriars st Coventry,
2011,Coventry,gulson̴road̴Coventry,gulson road Coventry,
2011,Coventry,Gulson̴Road̴Coventry,Gulson Road Coventry,
2011,Coventry,hale̴st,hale st,
2011,Coventry," Hales̴Street,̴Coventry"," Hales Street, Coventry",
2011,Coventry,Hartfrod̴street,Hartfrod street,
2011,Coventry,hayle̴street,hayle street,
2011,Coventry,hayles̴street,hayles street,
2011,Coventry,Hedgefield̴Way,Hedgefield Way,
2011,Coventry,herald̴way̴Coventry,herald way Coventry,
2011,Coventry,high̴st̴Coventry,high st Coventry,
2011,Coventry,High̴Street,High Street,
2011,Coventry,High̴Street,High Street,
2011,Coventry,Hill̴Street,Hill Street,
2011,Coventry,Hipswell̴Highway,Hipswell Highway,
2011,Coventry,holmesdale̴road,holmesdale road,
2011,Coventry,hurst̴Road,hurst Road,
2011,Coventry,ibis̴hotel,ibis hotel,
2011,Coventry,Ikea̴Car̴Park,Ikea Car Park,
2011,Coventry,ikea̴plaza,ikea plaza,
2011,Coventry,iron̴monger̴row,iron monger row,
2011,Coventry,jardine̴crescent,jardine crescent,
2011,Coventry,jardine̴crescent,jardine crescent,
2011,Coventry,Jasrdine̴Crescent,Jasrdine Crescent,
2011,Coventry,JD̴Wetherspoon̴Earlsdon,JD Wetherspoon Earlsdon,
2011,Coventry,Jordan̴Well,Jordan Well,
2011,Coventry," Jordan̴Well̴,̴Coventry"," Jordan Well , Coventry",
2011,Coventry,Jubilee̴cresent,Jubilee cresent,
2011,Coventry,Kirby̴Road,Kirby Road,
2011,Coventry,Lady̴Lane,Lady Lane,
2011,Coventry,Lambeth̴Close,Lambeth Close,
2011,Coventry,Leader̴Close,Leader Close,
2011,Coventry,Lidice̴Place,Lidice Place,
2011,Coventry," Lincoln̴Street̴,Coventry"," Lincoln Street ,Coventry",
2011,Coventry,Littl̴Park̴Street,Littl Park Street,
2011,Coventry," Little̴park̴st̴,Coventry."," Little park st ,Coventry.",
2011,Coventry," Little̴Park̴St̴,Coventry."," Little Park St ,Coventry.",
2011,Coventry,little̴park̴st̴Coventry,little park st Coventry,
2011,Coventry,Little̴Park̴Street,Little Park Street,
2011,Coventry,Little̴Park̴Street,Little Park Street,
2011,Coventry,Little̴Park̴street,Little Park street,
2011,Coventry,little̴park̴street,little park street,
2011,Coventry,Little̴Park̴Street,Little Park Street,
2011,Coventry,Little̴Park̴Street,Little Park Street,
2011,Coventry,Little̴Park̴Street,Little Park Street,
2011,Coventry,Little̴Park̴Street,Little Park Street,
2011,Coventry,little̴park̴street,little park street,
2011,Coventry,London̴Road,London Road,
2011,Coventry,London̴Road,London Road,
2011,Coventry,Longford̴Road,Longford Road,
2011,Coventry,Lower̴Ford̴st,Lower Ford st,
2011,Coventry,lower̴ford̴street,lower ford street,
2011,Coventry,lower̴holyhead̴d̴jtn̴with̴spon̴st,lower holyhead d jtn with spon st,
2011,Coventry,lower̴holyhead̴rd̴Coventry,lower holyhead rd Coventry,
